Country,Country ISO3,Relevant target,Relevant target (Unofficial English translation generated by Artificial Intelligence),Implemented Action,Other implemented action,Other implemented action (Unofficial English translation generated by Artificial Intelligence),Location,Location (Unofficial English translation generated by Artificial Intelligence),Date the action started,Extent of action,Total area implemented,Geometry UID,Geometry type
Zimbabwe,ZWE,"Reforestation with local and exotic species on 6 455 250 hectares of forest
converted to shrubs and on 215 050 hectares of forest converted to cropland",NA,Same As Targeted Actions,NA,NA,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,2018-01-01,66703.0,66703.0,NA,NA
Zimbabwe,ZWE,"Avoid further decline of forest through economic incentives (rehabilitation) of 2 820 hectares of land showing early signs of decline and having a declining
productivity",NA,Same As Targeted Actions,NA,NA,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,2018-01-01,28.2,28.2,NA,NA
Zimbabwe,ZWE,"Improve sustainable land management practices to avoid soil and gully erosion, encourage and enforce appropriate stoking rates on 175 250 hectares of shrubs, grasslands and sparsely vegetated areas showing early signs of decline
",NA,Same As Targeted Actions,NA,NA,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,2018-01-01,1752.5,1752.5,NA,NA
Zimbabwe,ZWE,"Use conservation farming and agro-forestry practices to improve cropland
productivity on 361 250 hectares of cropland showing stable but stressed
productivity and early signs of decline",NA,Same As Targeted Actions,NA,NA,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,2018-01-01,3612.5,3612.5,NA,NA
Zimbabwe,ZWE,Embark on land/catchment reclamation/restoration on 5 580 hectares of grazing and cropland affected by gully erosion,NA,Same As Targeted Actions,NA,NA,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,2018-01-01,55.8,55.8,NA,NA
Zimbabwe,ZWE,"Enforce laws and regulations, embark on awareness programmes targeting
illegal miners and rehabilitate 3 798.60 hectares affected by illegal mining",NA,Same As Targeted Actions,NA,NA,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,2018-01-01,37.9,37.9,NA,NA
Zimbabwe,ZWE,Reduce the 8 857.92 hectares of land affected by alien species through chemical and mechanical control methods,NA,Same As Targeted Actions,NA,NA,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,2018-01-01,88.5,88.5,NA,NA
Zimbabwe,ZWE,Maintain and improve land productivity on 137 545 hectares of forests that are currently stable but stressed,NA,Same As Targeted Actions,NA,NA,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,2018-01-01,137.5,137.5,NA,NA
Zimbabwe,ZWE,"Provide alternatives such as rural electrification, renewable energy sources, expanded energy for tobacco programme, provide sustainable fencing materials for fencing arable lands and for brick burning , enforce regulations on tree cutting
for fuel wood sale and reduce deforestation to protect 297 000 hectares of forest
land",NA,Same As Targeted Actions,NA,NA,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,2018-01-01,2970.0,2970.0,NA,NA
Zimbabwe,ZWE,"Improve wetland management and restoration of 270 080 hectares of the
country’s severely degraded wetlands",NA,Same As Targeted Actions,NA,NA,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,2018-01-01,2.0,2.0,NA,NA
