Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
"Increase forest cover through Afforestation/Agroforestry in existing forests; areas of shrubs/grassland; wetlands; croplands by 465,290 ha",NA,Eswatini,SWZ,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,4652.90,"Reduce
Reverse
",NA,"2 Increase tree-covered area extent
","3.1 Increase land productivity in agricultural areas
","4.1 Restore and improve pastures
","5.1 Restore/preserve wetlands and reduce degradation of wetlands
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Restore vegetation cover (unspecified land use)
",ongoing,NA,active,NA,NA
Increase by 10% net land productivity in all land cover categories through SLM practices,NA,Eswatini,SWZ,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,NA,"Reduce
Reverse
",NA,NA,"3.1 Practise sustainable land management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Improve land productivity (unspecified land use)
",ongoing,NA,active,NA,NA
Improve by 50% productivity and SOC stocks in cropland and grasslands by 2030 as compared to 2015,NA,Eswatini,SWZ,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,"Reduce
Reverse
",NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Increase carbon stock and reduce soil/land degradation
",NA,NA,NA,NA,NA,NA,NA,NA,15 Restore productivity and soil organic carbon stock in croplands and grasslands,NA,ongoing,NA,active,NA,NA
Increase Protected Area land coverage from 70 000 ha to 113 000 ha by 2022,NA,Eswatini,SWZ,Participation in the LDN Target Setting Programme,NA,2022,NA,NA,430.00,"Avoid
",NA,NA,NA,NA,NA,NA,NA,"8 Restore/improve protected areas
",9.1 Increase protected area extent,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"Rehabilitate 115,000 ha of degraded and abandoned land for crop production by 2030",NA,Eswatini,SWZ,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,115000.00,"Reduce
Reverse
",NA,NA,"3.1 Rehabilitate bare or degraded land for crop production
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Reduce current annual loss of forest to cropland of 9.1 km2 to 4 km2 by 2022 and achieve zero forest loss by 2030,NA,Eswatini,SWZ,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,"Avoid
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Reduce the rate of soil sealing (conversion to artificial land cover) by 30% by 2030 as compared to 2010,NA,Eswatini,SWZ,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,"Avoid
",NA,NA,NA,NA,NA,NA,"7.1 Halt/reduce/regulate expansion of urban/artificial surfaces
",NA,NA,NA,NA,NA,13 Reduce/halt conversion of multiple land uses,NA,NA,NA,ongoing,NA,active,NA,NA
Rehabilitate degraded lands by 465290 Ha by 2030,NA,Eswatini,SWZ,Participation in the LDN Target Setting Programme,NA,2030,country wide,NA,5.00,NA,"1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Restore tree-covered areas
1.3 Improve tree cover management
","2 Increase tree-covered area extent
",NA,NA,"5 Restore/improve wetlands
5.1 Halt/reduce wetland conversion to other land uses (includes conserving wetlands)
5.2 Restore/preserve wetlands and reduce degradation of wetlands
","6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
6.2 Reduce soil erosion
6.3 Increase carbon stock and reduce soil/land degradation
6.4 Improve watershed/landscape management
",NA,"8 Restore/improve protected areas
8.1 Restore protected areas
8.2 Improve management of protected areas
","9 Increase protected areas
9.1 Increase protected area extent",NA,"11 General instrument (e.g. policies, economic incentives)",NA,NA,14 Restore/improve multiple functions,15 Restore productivity and soil organic carbon stock in croplands and grasslands,NA,ongoing,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,NA
Increase NPP by 10%,NA,Eswatini,SWZ,Participation in the LDN Target Setting Programme,NA,2030,country wide ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,NA
Increase SOC by 50% ,NA,Eswatini,SWZ,Participation in the LDN Target Setting Programme,NA,2030,country wide ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,NA
