Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
LDN is achieved by 2030 as compared to 2015 and an additional 10% of the national territory has improved (net gain),NA,Gambia,GMB,Participation in the LDN Target Setting Programme,NA,2030,national territory,NA,100.00,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
LDN is achieved in the West Coast Region of The Gambia by 2030 as compared to 2015 (no net loss),NA,Gambia,GMB,Participation in the LDN Target Setting Programme,NA,2030,West Coast Region of The Gambia,NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
LDN is achieved in the Lower River Region of The Gambia by 2030 as compared to 2015 (no net loss),NA,Gambia,GMB,Participation in the LDN Target Setting Programme,NA,2030,Lower River Region of The Gambia,NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
LDN is achieved in the Upper River Region of The Gambia by 2030 as compared to 2015 and an additional 5% of the provincial territory has improved (net gain),NA,Gambia,GMB,Participation in the LDN Target Setting Programme,NA,2030,Upper River Region of The Gambia,NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
LDN is achieved in the North Bank Region of The Gambia by 2030 as compared to 2015 and an additional 20% of the provincial territory has improved (net gain),NA,Gambia,GMB,Participation in the LDN Target Setting Programme,NA,2030,North Bank Region of The Gambia,NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
LDN is achieved in the Central River Region of The Gambia by 2030 as compared to 2015 and an additional 15% of the provincial territory has improved (net gain),NA,Gambia,GMB,Participation in the LDN Target Setting Programme,NA,2030,Central River Region of The Gambia,NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
"LDN is achieved in the land degradation hotspots: Njaba Kunda (Central Baddibu), Ngain Sanjal (Sabah Sanjal) and Njau (Upper Saloum) by 2003 as compared to 2015 (no net loss)",NA,Gambia,GMB,Participation in the LDN Target Setting Programme,NA,2030,"Njaba Kunda (Central Baddibu), Ngain Sanjal (Sabah Sanjal) and Njau (Upper Saloum)",These are locations in the Gambia.,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
Improve productivity and SOC stocks by 50% in cropland and grasslands by 2030 as compared to 2015,NA,Gambia,GMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
",NA,NA,NA,NA,NA,NA,NA,NA,15 Restore productivity and soil organic carbon stock in croplands and grasslands,NA,ongoing,NA,active,NA,NA
Rehabilitate 1099 sq km of degraded grassland and cropland with declining productivity and early signs of decline for crop production and forestry by 2030,NA,Gambia,GMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,1099.00,"Reduce
Reverse
","1 Restore/improve tree-covered areas
1.1 Restore tree-covered areas
1.2 Increase land productivity in tree covered areas
1.3 Restore/improve grasslands
",NA,"3.1 Increase land productivity in agricultural areas
","4.1 Improve land productivity in grasslands
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Halt the conversion of forests and wetlands to other land cover classes by 2025,NA,Gambia,GMB,Participation in the LDN Target Setting Programme,NA,2025,NA,NA,NA,"Avoid
","1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
",NA,NA,NA,"5.1 Halt/reduce wetland conversion to other land uses (includes conserving wetlands)
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Increase forest cover by 10% by 2030 as compared to 2015,NA,Gambia,GMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,"Reverse
",NA,"2 Increase tree-covered area extent
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Rehabilitate 1099 sq km of degraded grassland and cropland with declining productivity and early signs of decline for crop production and forestry by 2030 ,NA,Gambia,GMB,Participation in the LDN Target Setting Programme,NA,2030,The Gambia,NA,1099.00,"Avoid
Reduce
Reverse
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Restore tree-covered areas
1.3 Increase land productivity in tree covered areas
1.4 Restore/improve grasslands
1.5 Improve tree cover management
",NA,"3 Restore/improve croplands
3.1 Practise sustainable land management
","4 Restore/improve grasslands
4.1 Restore rangeland
",NA,NA,NA,NA,NA,NA,"11 General instrument (e.g. policies, economic incentives)",NA,NA,NA,NA,NA,ongoing,"Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,MultiPolygon
Increase Forest Cover by 10% by 2030,NA,Gambia,GMB,Participation in the LDN Target Setting Programme,NA,2030,The Gambia,NA,423.00,"Avoid
Reduce
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Restore tree-covered areas
1.3 Improve tree cover management
","2 Increase tree-covered area extent
2.1 Increase tree covered land (net gain)",NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
",NA,NA,"9 Increase protected areas
9.1 Increase protected area extent",NA,"11 General instrument (e.g. policies, economic incentives)",NA,NA,NA,NA,NA,ongoing,"Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,MultiPolygon
"Halt the conversion of forests and wetlands to other land cover classes by 2025 
",NA,Gambia,GMB,Participation in the LDN Target Setting Programme,NA,2025,The Gambia,NA,1400.00,"Avoid
Reduce
Reverse
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Improve tree cover management
",NA,NA,NA,"5 Restore/improve wetlands
5.1 Halt/reduce wetland conversion to other land uses (includes conserving wetlands)
5.2 Restore/preserve wetlands and reduce degradation of wetlands
",NA,NA,"8 Restore/improve protected areas
8.1 Restore protected areas
8.2 Improve management of protected areas
","9 Increase protected areas
9.1 Increase protected area extent",NA,"11 General instrument (e.g. policies, economic incentives)",NA,NA,NA,NA,NA,ongoing,"Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,NA
Improve productivity and SOC stocks by 50% in cropland and grasslands by 2030 ,NA,Gambia,GMB,Participation in the LDN Target Setting Programme,NA,2030,The Gambia,NA,7550.00,"Avoid
Reduce
Reverse
",NA,NA,"3 Restore/improve croplands
3.1 Increase land productivity in agricultural areas
3.2 Improve water use for irrigation
3.3 Rehabilitate bare or degraded land for crop production
3.4 Practise sustainable land management
3.5 Halt/reduce conversion of cropland to other land cover types
","4 Restore/improve grasslands
4.1 Restore and improve pastures
4.2 Restore rangeland
4.3 Improve land productivity in grasslands
4.4 Halt/reduce conversion of grassland to other land cover types
",NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
6.2 Reduce soil erosion
6.3 Increase carbon stock and reduce soil/land degradation
6.4 Maintain the current level of SOC
6.5 Improve watershed/landscape management
",NA,NA,NA,NA,"11 General instrument (e.g. policies, economic incentives)",NA,NA,NA,NA,NA,ongoing,"Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,NA
