Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
The Lesotho target is to achieve LDN by 2030 as compared to the 2015 baseline and an improvement of 5% of the land. The improvement is expected mainly in the Lowlands and Foothills of Lesotho where majority of the land is used for cropping. The target is to also improve Soil Organic Carbon in all land classes.,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,2030,Lowlands and Foothills of Lesotho,NA,NA,"Avoid
Reduce
Reverse
",NA,NA,"3.1 Increase land productivity in agricultural areas
",NA,NA,"6.1 Increase carbon stock and reduce soil/land degradation
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
16.2 Improve land productivity (unspecified land use)
",ongoing,NA,active,NA,NA
Improve productivity and SOC stocks to 1% in all land classes by 2030 as compared to 2015,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,2030,national territory,NA,NA,"Avoid
Reduce
Reverse
","1.1 Increase land productivity in tree covered areas
",NA,"3.1 Increase land productivity in agricultural areas
","4.1 Improve land productivity in grasslands
",NA,"6.1 Increase carbon stock and reduce soil/land degradation
",NA,NA,NA,NA,NA,NA,NA,NA,15 Restore productivity and soil organic carbon stock in croplands and grasslands,"16.1 Improve land productivity (unspecified land use)
",ongoing,NA,active,NA,NA
"Rehabilitate 600,000 hectares of degraded land to functionality by 2030",NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,2030,national territory,NA,6000.00,"Reverse
",NA,NA,NA,NA,NA,"6.1 Rehabilitate bare land and/or restore degraded land
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"Convert 135,600 ha of bush land back to rangeland by 2030 as compared to 2015",NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,2030,national territory,NA,1356.00,"Reduce
Reverse
",NA,NA,NA,"4.1 Restore rangeland
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Restore vegetation cover (unspecified land use)
",ongoing,NA,active,NA,NA
Halt the conversion of forests and wetlands to other land cover classes by 2022,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,2022,national territory,NA,NA,"Avoid
Reduce
","1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
",NA,NA,NA,"5.1 Halt/reduce wetland conversion to other land uses (includes conserving wetlands)
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"Increase forest cover by 61,325 ha by 2030 as compared to 2015",NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,2030,national territory,NA,613.25,"Reduce
Reverse
",NA,"2 Increase tree-covered area extent
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Reduce the rate of soil erosion and sealing (conversion to artificial land cover) by 20% by 2030 as compared to 2015,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,2030,national territory,NA,NA,"Reduce
Reverse
",NA,NA,NA,NA,NA,"6.1 Reduce soil erosion
","7.1 Halt/reduce/regulate expansion of urban/artificial surfaces
",NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
NA,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,2028,NA,NA,6976.00,"Reduce
Reverse
",NA,"2 Increase tree-covered area extent
",NA,"4 Restore/improve grasslands
4.1 Restore and improve pastures
4.2 Restore rangeland
4.3 Improve land productivity in grasslands
","5 Restore/improve wetlands
5.1 Restore/preserve wetlands and reduce degradation of wetlands
","6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
6.2 Reduce soil erosion
6.3 Increase carbon stock and reduce soil/land degradation
6.4 Improve watershed/landscape management
",NA,NA,NA,NA,NA,NA,NA,NA,15 Restore productivity and soil organic carbon stock in croplands and grasslands,NA,ongoing,"Convention on Biological Diversity
",active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,493.70,"Reduce
Reverse
",NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"Convention on Biological Diversity
",active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,493.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,MultiPolygon
