Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
Target 1: Rehabilitating of 988 ha of degraded forests ,NA,Somalia,SOM,Participation in the LDN Target Setting Programme,NA,2024,areas identified as hotspots in the Somalia LDN,NA,NA,"Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,partially_achieved,NA,active,NA,NA
Target 2: Reduce conversion of forests and wetlands into land cover classes.,NA,Somalia,SOM,Participation in the LDN Target Setting Programme,NA,2030,areas identified as hotspots in the Somalia LDN,NA,NA,"Reduce
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_achieved,NA,active,NA,NA
Target 3: Minimize conversion of grassland and croplands into artificial surfaces ,NA,Somalia,SOM,Participation in the LDN Target Setting Programme,NA,2030,areas identified as hotspots in the Somalia LDN,NA,NA,"Avoid
Reduce
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_achieved,NA,active,NA,NA
" Target 4: Improve land productivity on 33342 ha of Tree-covered areas, 472,227 ha of grassland, 7709 
ha of cropland currently showing stressed productivity through sustainable land 
management practices",NA,Somalia,SOM,Participation in the LDN Target Setting Programme,NA,2030,areas identified as hotspots in the Somalia LDN,NA,NA,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,partially_achieved,NA,active,NA,NA
 Target 5: Stop the conversion of cropland to other land cover classes ,NA,Somalia,SOM,Participation in the LDN Target Setting Programme,NA,2030,areas identified as hotspots in the Somalia LDN,NA,NA,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_achieved,NA,active,NA,NA
Target 6: Improve carbon stocks of cultivated (61898 ha) areas,NA,Somalia,SOM,Participation in the LDN Target Setting Programme,NA,2030,areas identified as hotspots in the Somalia LDN,NA,NA,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,partially_achieved,NA,active,NA,NA
"Target 7: Restore and increase the productivity of (448,527 km2) of agricultural land using modern 
agricultural techniques and SLM practice in all areas ",NA,Somalia,SOM,Participation in the LDN Target Setting Programme,NA,2030,areas identified as hotspots in the Somalia LDN,NA,NA,"Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,partially_achieved,NA,active,NA,NA
"Target 8: Rehabilitate and increase the productivity of (472,227 ha) grassland",NA,Somalia,SOM,Participation in the LDN Target Setting Programme,NA,2030,areas identified as hotspots in the Somalia LDN,NA,NA,"Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,partially_achieved,NA,active,NA,NA
"Target 9: Stop the occurrence of soil erosion by rainwater, particularly in the northern ranges owing to 
steep topography by creating dams for water harvesting to be utilized for agricultural 
purposes",NA,Somalia,SOM,Participation in the LDN Target Setting Programme,NA,2030,areas identified as hotspots in the Somalia LDN,NA,NA,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,partially_achieved,NA,active,NA,NA
"Target 10:  Increase land protected against soil erosion to 1,034,509 ha ",NA,Somalia,SOM,2022 reporting,NA,2024,areas identified as hotspots in the Somalia LDN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,partially_achieved,NA,active,NA,NA
Target 11: Improve stressed/declining land productivity reduced by 25%,NA,Somalia,SOM,2022 reporting,NA,2030,areas identified as hotspots in the Somalia LDN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_achieved,NA,active,NA,NA
Target12: Traditional Biomass energy consumption is reduced to 32%.,NA,Somalia,SOM,2022 reporting,NA,2024,areas identified as hotspots in the Somalia LDN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
