Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
Inventory of renewable natural resources in the country (Inventory of forest resources - Survey of pastoral lands - Wetlands inventory -  Inventory of wild animals),NA,Sudan,SDN,Participation in the LDN Target Setting Programme,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
"Reservation of 15% of the country to be registered by the government as renewable natural resource area (Complete forest reservation - Mapping, reservation and recording of pasture lands - Reservation of wildlife areas - Completion of the wetland reservation and registration of the requirements of the RAMSAR Convention",NA,Sudan,SDN,Participation in the LDN Target Setting Programme,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
LDN is achieved by 2030 as compared to 2010 at national level (no net loss),NA,Sudan,SDN,Participation in the LDN Target Setting Programme,NA,2030,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Achieve LDN
",ongoing,NA,active,NA,NA
"Improve the implementation of land use sustainability and planning and evaluation in state agencies related to the land degradation neutrality (Provision of a national database - Raise institutional and individual capacities in planning, implementation and evaluation - Improve coordination mechanisms between the center and the states in all sectors - Development of a sustainable land management methodology - Develop an integrated land use sustainability plan)",NA,Sudan,SDN,Participation in the LDN Target Setting Programme,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
Determine the productivity of pastoral land in each state and increase it to 2.5 tons / hectare,NA,Sudan,SDN,Participation in the LDN Target Setting Programme,NA,NA,Sub-national,NA,NA,NA,NA,NA,NA,"4 Restore/improve grasslands
4.1 Restore and improve pastures
4.2 Improve land productivity in grasslands
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Develop a methodology for the sustainability of pastoral lands at the national level,NA,Sudan,SDN,Participation in the LDN Target Setting Programme,NA,NA,Sub-national,Sub-national,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
Forest conservation and reforestation of 66 square kilometers of degraded forests in Kassala and Blue Nile states,NA,Sudan,SDN,Participation in the LDN Target Setting Programme,NA,NA,Kassala and Blue Nile states,Kassala and Blue Nile states,66.00,NA,"1 Restore/improve tree-covered areas
1.1 Restore tree-covered areas
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Improving the quality of pastures’ soil and SOC,NA,Sudan,SDN,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 Restore/improve grasslands
4.1 Restore and improve pastures
",NA,"6 Increase soil fertility and carbon stock
6.1 Increase carbon stock and reduce soil/land degradation
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Improve production in rainfed agricultural areas (clay) to mean 10 Shawwal per feddan (and sand) 5 Shawwal per feddan,NA,Sudan,SDN,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
"Increase the carbon stock in the soil by 30,5742 tons (Compensation of carbon losses by base year and add the same amount by forest farming in North, Nile, Khartoum, North Kordofan and North Darfur)",NA,Sudan,SDN,Participation in the LDN Target Setting Programme,NA,NA,"North, Nile, Khartoum, North Kordofan and North Darfur",NA,NA,NA,NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Increase carbon stock and reduce soil/land degradation
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
