Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
Combattre l’érosion hydrique Aménagement intégré des bassins versants des barrages,Combatting water erosion Integrated watershed management of dams.,Algeria,DZA,Participation in the LDN Target Setting Programme,NA,2030,48 bassins versants à travers tout le territoire national,48 watersheds across the national territory,15000.00,"Avoid
Reduce
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13 Reduce/halt conversion of multiple land uses,NA,NA,NA,ongoing,"Other: (UNCCD)
(Unofficial English translation generated by Artificial Intelligence: UNCCD (United Nations Convention to Combat Desertification))
",active,NA,NA
Plan National de Reboisement,National Reforestation Plan,Algeria,DZA,Participation in the LDN Target Setting Programme,NA,2030,tout le territoire national,The entire national territory,4750.00,"Avoid
Reduce
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Restore tree-covered areas
1.3 Improve tree cover management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"Other: (UNCCD)
(Unofficial English translation generated by Artificial Intelligence: UNCCD)
",active,NA,NA
Economie de l'eau et sécurité alimentaire (terres irriguées supplémentaire) ,Water economy and food security (additional irrigated land),Algeria,DZA,Participation in the LDN Target Setting Programme,NA,2025,tout le territoire national,"No additional meaning; ""tout le territoire national"" is already in French.",10000.00,"Avoid
Reduce
",NA,NA,"3 Restore/improve croplands
3.1 Improve water use for irrigation
3.2 Rehabilitate bare or degraded land for crop production
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"Other: (UNCCD)
(Unofficial English translation generated by Artificial Intelligence: UNCCD)
",active,NA,NA
Gestion et protection des parcours ,Management and protection of rangelands,Algeria,DZA,Participation in the LDN Target Setting Programme,NA,2030,zone steppique et presaharienne,steppic and pre-Saharan zone,20000.00,"Avoid
Reduce
",NA,NA,NA,"4 Restore/improve grasslands
4.1 Restore and improve pastures
4.2 Improve land productivity in grasslands
4.3 Halt/reduce conversion of grassland to other land cover types
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"Other: (UNCCD)
(Unofficial English translation generated by Artificial Intelligence: No translation needed as UNCCD is already in English.)
",active,NA,NA
"Redução da degradação acentuada de terras, em cerca de 50%-UNCCD Reporting process em comparação à 2015-ano de referência para os terrenos onde se pratica actualmente agricultura",Reduction of severe land degradation by around 50% - UNCCD Reporting process compared to 2015 - reference year for the lands currently used for agriculture.,Angola,AGO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
",ongoing,NA,active,NA,NA
Restauração de 50% dos ecossistemas actualmente degradados por práticas irregulares do uso da terra,Restoration of 50% of ecosystems currently degraded by irregular land use practices.,Angola,AGO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
",ongoing,NA,active,NA,NA
"Aumento do conteúdo de Carbono Orgânico do Solo para 30% em todas as classes de terras (3) e contribuição para a redução para metade (0,4%) da actual taxa de desflorestação em todo território nacional",Increase the Soil Organic Carbon content to 30% in all land classes (3) and contribute to reducing the current deforestation rate by half (0.4%) across the national territory.,Angola,AGO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
",ongoing,NA,active,NA,NA
Reforço da informação e consciencialização sobre as boas práticas da utilização da terra incluído a ligadas com a agricultura sustentável-conservação para 80% das famílias rurais,"Enhancement of information and awareness on the good practices of land use, including those related to sustainable agriculture-conservation, for 80% of rural families.",Angola,AGO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
",ongoing,NA,active,NA,NA
"Aumento em 30% a disponibilidade de água nas zonas carenciadas do triângulo de transumância (Cunene, Huíla e Namibe)","Increase water availability by 30% in the water-scarce areas of the transhumance triangle (Cunene, Huila, and Namibe)",Angola,AGO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
",ongoing,NA,active,NA,NA
Redução em 25% do efectivo pecuário nas zonas de forte tradição da produção pecuária concentração,Reduction of 25% in livestock numbers in areas with a strong tradition of livestock production concentration.,Angola,AGO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
",ongoing,NA,active,NA,NA
