Country,Country ISO3,Relevant target,Relevant target (Unofficial English translation generated by Artificial Intelligence),Implemented Action,Other implemented action,Other implemented action (Unofficial English translation generated by Artificial Intelligence),Location,Location (Unofficial English translation generated by Artificial Intelligence),Date the action started,Extent of action,Total area implemented,Geometry UID,Geometry type
Senegal,SEN,"mesure structurale permettant le traitement (comblement) des ravins (en aval) dans un systéme de bassin versant, renforcée par l'action des cordons pierreux en aval","Structural measure allowing the treatment (filling) of gullies (downstream) in a watershed system, reinforced by the action of stone check dams downstream.",Same As Targeted Actions,NA,NA,Kidira,Kidira,2019-03-17,1.0,1.0,NA,NA
Senegal,SEN,"une alternative pour la gestion du changement climatique en tant que modèle innovant de développement durable et de
résilience des Communautés locales des terroirs",An alternative for managing climate change as an innovative model for sustainable development and resilience of local communities in the land.,Same As Targeted Actions,NA,NA,Tracé GMV,Please provide the text that needs to be translated into English.,2019-09-04,333.0,333.0,NA,NA
Senegal,SEN,"une alternative pour la gestion du changement climatique en tant que modèle innovant de développement durable et de
résilience des Communautés locales des terroirs",An alternative for managing climate change as an innovative model for sustainable development and resilience of local communities in the land.,Same As Targeted Actions,NA,NA,Tracé GMV,Trace GMV,2019-06-18,130.0,130.0,NA,NA
Senegal,SEN,Récupération des terres salées,Recovery of saline lands,Same As Targeted Actions,NA,NA,Fatick,NA,2021-09-08,5.0,5.0,NA,NA
Senegal,SEN,Conversion des zones cultivées en forêt régionale,Conversion of cultivated areas into regional forest,Same As Targeted Actions,NA,NA,linguere,"I'm sorry, but ""linguere"" does not have a meaning in English.",2021-07-15,5.0,5.0,NA,NA
Senegal,SEN,mettre en place une retenue d'eau pour limiter la perte de couche arable par ruissellemnt et pour favoriser la recharge de la nappe phréatique,no translation needed - the text is already in French,Same As Targeted Actions,NA,NA,Tambacounda,NA,2021-09-23,3.0,3.0,NA,NA
Senegal,SEN,Aménagement forestier,Forest management,Same As Targeted Actions,NA,NA,Kolda,Kolda,2019-12-03,215.0,215.0,NA,NA
Senegal,SEN," Sur la période 2020-2035, 18 809.96 km2 de terres forestières seront restaurées et gérées durablement.","Over the period 2020-2035, 18,809.96 km2 of forest land will be restored and sustainably managed.",Same As Targeted Actions,NA,NA,"régions de Tambacounda, Kolda, Fatick, Kaolack,kedougou","Regions of Tambacounda, Kolda, Fatick, Kaolack, Kedougou",2020-10-25,2600.0,2600.0,NA,NA
Senegal,SEN,"Sur la période 2020-2035, 10 257.06 km2 de terres de parcours et de prairies seront restaurées et gérées durablement","Over the period 2020-2035, 10,257.06 km2 of rangelands and grasslands will be restored and sustainably managed.",Same As Targeted Actions,NA,NA,"Louga, Saint-louis, Diourbel,Matam, Kaolack",These are names of regions in Senegal.,2020-09-04,1200.0,1200.0,NA,NA
Senegal,SEN,"• Sur la période 2020-2035, 19 894.12 km2 de terres cultivées seront restaurées et gérées durablement","Over the period 2020-2035, 19,894.12 km2 of cultivated land will be restored and sustainably managed.",Same As Targeted Actions,NA,NA,"Saint-louis, Matam, Tambacounda, Kaolack, Fatick, Sedhiou",NA,2020-08-05,1125.0,1125.0,NA,NA
Senegal,SEN,"• Sur la période 2020-2035, 1 147.58 km2 de zones humides seront restaurées et gérées durablement.","Over the period 2020-2035, 1,147.58 km2 of wetlands will be restored and sustainably managed.",Same As Targeted Actions,NA,NA,"Fatick, Kaolack, Sedhiou, Ziguinchor",NA,2021-08-17,300.0,300.0,NA,NA
Senegal,SEN,"• Sur la période 2020-2035, 1 348.27 km2 de zones marginales (zones artificielles, terrain nu et autres domaines) seront restaurées et gérées durablement","Over the period 2020-2035, 1,348.27 km2 of marginal areas (artificial areas, bare land, and other domains) will be restored and sustainably managed.",Same As Targeted Actions,NA,NA,Kedougou,NA,2014-02-12,85.0,85.0,NA,NA
