Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
LDN is achieved by 2030 as compared to 2015 and an additional 10 % of the national territory has improved (net gain),NA,Eritrea,ERI,Participation in the LDN Target Setting Programme,NA,2030,national territory,NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
Improved Adhanet stoves dissemination is achieved by 2021 as compared to 2015 as key contribution to LDN.,NA,Eritrea,ERI,Participation in the LDN Target Setting Programme,NA,2021,national territory,NA,NA,"Avoid
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
LDN is achieved in Maekel province by 2030 as compared to 2015 (no net loss),NA,Eritrea,ERI,Participation in the LDN Target Setting Programme,NA,2030,Maekel province,Maekel province,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
LDN is achieved in Debub province by 2030 as compared to 2015 (no net loss) and an additional 27% of the province has improved (net gain),NA,Eritrea,ERI,Participation in the LDN Target Setting Programme,NA,2030,Debub province,Debub province.,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
LDN is achieved in Gash Barka province by 2030 as compared to 2015 (no net loss) and an additional 12% of the province has improved (net gain),NA,Eritrea,ERI,Participation in the LDN Target Setting Programme,NA,2030,Gash Barka province,NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
LDN is achieved in Anseba province by 2030 as compared to 2015 (no net loss),NA,Eritrea,ERI,Participation in the LDN Target Setting Programme,NA,2030,Anseba province,Anseba province.,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
LDN is achieved in Northern Red Sea (NRS) province by 2030 as compared to 2015 (no net loss) and an additional 10% of the province has improved (net gain),NA,Eritrea,ERI,Participation in the LDN Target Setting Programme,NA,2030,Northern Red Sea (NRS) province,NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
LDN is achieved in Southern Red Sea (SRS) province by 2030 as compared to 2015 (no net loss) and an additional 5% of the province has improved (net gain),NA,Eritrea,ERI,Participation in the LDN Target Setting Programme,NA,2030,Southern Red Sea (SRS),NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
"Improve productivity of 10,954 sq km of cropland by 2030.",NA,Eritrea,ERI,Participation in the LDN Target Setting Programme,NA,2030,cropland,NA,10954.00,"Avoid
",NA,NA,"3.1 Increase land productivity in agricultural areas
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"Improve SOC stocks of 17,803 sq km in cropland and grasslands by 2030 as compared to 2015.",NA,Eritrea,ERI,Participation in the LDN Target Setting Programme,NA,2030,cropland and grasslands,NA,17803.00,"Avoid
Reduce
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15 Restore productivity and soil organic carbon stock in croplands and grasslands,"16.1 Improve land productivity (unspecified land use)
",ongoing,NA,active,NA,NA
"Rehabilitate 17,853 sq kms of degraded and abandoned land for crop production by 2030",NA,Eritrea,ERI,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,17853.00,"Avoid
Reduce
",NA,NA,"3.1 Rehabilitate bare or degraded land for crop production
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Halt the conversion of forests and wetlands to other land cover classes by 2025,NA,Eritrea,ERI,Participation in the LDN Target Setting Programme,NA,2025,NA,NA,NA,"Avoid
","1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
",NA,NA,NA,"5.1 Halt/reduce wetland conversion to other land uses (includes conserving wetlands)
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Restore 79 sq km of indigenous forest land,NA,Eritrea,ERI,Participation in the LDN Target Setting Programme,NA,NA,indigenous forest land,indigenous forest land,79.00,"Reverse
","1.1 Restore tree-covered areas
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Increase forest cover by 10% by 2030 as compared to 2015.,NA,Eritrea,ERI,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,"Reverse
","1 Restore/improve tree-covered areas
","2 Increase tree-covered area extent
2.1 Increase tree covered land (net gain)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Reduce the rate of top soil loss (soil erosion) by 20% by 2030 as compared to 2015 estimate,NA,Eritrea,ERI,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,"6.1 Reduce soil erosion
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Increase soil organic carbon by 10 t/ha in cropland achieved through SLM practices.,NA,Eritrea,ERI,Participation in the LDN Target Setting Programme,NA,NA,cropland,NA,NA,"Reduce
Reverse
",NA,NA,"3 Restore/improve croplands
3.1 Practise sustainable land management
",NA,NA,"6 Increase soil fertility and carbon stock
6.1 Increase carbon stock and reduce soil/land degradation
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
