Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
"Le Niger s’engage à atteindre la NDT d’ici à 2030 et réduire les superficies des terres dégradées de 9% à 5% afin d’augmenter, de 17% à 19%, la couverture végétale et améliorer de façon durable les conditions de vie des populations",Niger is committed to achieving the LDN by 2030 and reducing degraded land area from 9% to 5% in order to increase vegetation cover from 17% to 19% and sustainably improve the living conditions of the populations.,Niger,NER,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Achieve LDN
16.2 Other/general/unspecified
",ongoing,NA,active,NA,NA
Restaurer 44% (4 440 500 ha) sur les 10 761 076 ha de terres dégradées en 2010,"Restore 44% (4,440,500 ha) out of the 10,761,076 ha of degraded land in 2010.",Niger,NER,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,44405.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12 Restore/improve multiple land uses,NA,14 Restore/improve multiple functions,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
Réduire à 2% (252 101 ha) la superficie des terres cultivées présentant une tendance négative de productivité primaire nette,"Reduce the area of cultivated land with a negative trend in net primary productivity to 2% (252,101 ha)",Niger,NER,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,2521.01,NA,NA,NA,"3 Restore/improve croplands
3.1 Increase land productivity in agricultural areas
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"Réduire de 1% (100 074,3 ha) à 0% le taux annuel de conversion des forets/savanes/zones humides en d’autres types d’occupation","Reduce the annual conversion rate of forests/savannas/wetlands to other types of land use from 1% (100,074.3 ha) to 0%.",Niger,NER,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,1000.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13 Reduce/halt conversion of multiple land uses,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
Mettre un terme à l’ensablement et l’érosion hydrique (ravinement) le long du fleuve Niger,To put an end to sand encroachment and water erosion (gully erosion) along the Niger River.,Niger,NER,Participation in the LDN Target Setting Programme,NA,2030,le long du fleuve Niger,Along the Niger River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Improve coastal management
10.1 Reduce coastal erosion
",NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"Séquestrer 292 000 tonnes de carbone dans le sol et/ou la biomasse par les bonnes pratiques agroforestières (brise vent, haies vives, RNA, Banque fourragère, banque alimentaire etc.)","Sequester 292,000 tonnes of carbon in the soil and/or biomass through good agroforestry practices (windbreaks, living hedges, agroforestry network, forage bank, food bank, etc.)",Niger,NER,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Increase carbon stock and reduce soil/land degradation
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Improve land productivity (unspecified land use)
",ongoing,NA,active,NA,NA
Restaurer 44 405 Km2 de terres dégradées,"Restore 44,405 km2 of degraded land.",Niger,NER,Participation in the LDN Target Setting Programme,NA,2030,National,NA,4980.00,"Reduce
Reverse
","1 Restore/improve tree-covered areas
1.1 Restore tree-covered areas
1.2 Restore/improve grasslands
","2 Increase tree-covered area extent
2.1 Increase tree covered land (net gain)",NA,"4 Restore/improve grasslands
4.1 Restore and improve pastures
4.2 Restore rangeland
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_achieved,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,NA
Réduire à 2521.01 Km2 la superficie des terres cultivées présentant une tendance négative de productivité primaire nette,Reduce the area of cultivated land with a negative trend in net primary productivity to 2521.01 square kilometers.,Niger,NER,Participation in the LDN Target Setting Programme,NA,2030,National,NA,4890.00,"Reduce
",NA,NA,"3 Restore/improve croplands
3.1 Increase land productivity in agricultural areas
3.2 Practise sustainable land management
3.3 Halt/reduce conversion of cropland to other land cover types
",NA,NA,"6 Increase soil fertility and carbon stock
6.1 Reduce soil erosion
6.2 Increase carbon stock and reduce soil/land degradation
6.3 Maintain the current level of SOC
6.4 Improve watershed/landscape management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,NA
"Réduire de 1000.7 Km2  la superficie annuelle des forets/savanes/zones humides converties en d’autres types d’occupation,",Reducing by 1000.7 km2 the annual area of forests/savannas/wetlands converted into other types of land use.,Niger,NER,Participation in the LDN Target Setting Programme,NA,2030,National,NA,110.07,"Reduce
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Restore tree-covered areas
1.3 Increase land productivity in tree covered areas
","2 Increase tree-covered area extent
2.1 Increase tree covered land (net gain)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_achieved,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,NA
Séquestrer 292 000 tonnes de carbone dans le sol et/ou la biomasse,"Sequester 292,000 tonnes of carbon in the soil and/or biomass.",Niger,NER,Participation in the LDN Target Setting Programme,NA,2030,National,NA,24849.84,"Reduce
Reverse
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Restore tree-covered areas
1.3 Increase land productivity in tree covered areas
1.4 Restore/improve grasslands
1.5 Improve tree cover management
",NA,NA,"4 Restore/improve grasslands
4.1 Restore and improve pastures
4.2 Improve land productivity in grasslands
4.3 Halt/reduce conversion of grassland to other land cover types
",NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
6.2 Reduce soil erosion
6.3 Increase carbon stock and reduce soil/land degradation
6.4 Maintain the current level of SOC
6.5 Improve watershed/landscape management
",NA,NA,NA,NA,"11 General instrument (e.g. policies, economic incentives)",NA,NA,NA,15 Restore productivity and soil organic carbon stock in croplands and grasslands,NA,achieved,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,NA
