Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
"D’ici à l’horizon 2030, 75% des terres dégradées sont restaurées grâce aux activités de concertées de restauration et de préservation des paysages","By 2030, 75% of degraded lands are restored through coordinated restoration and landscape preservation activities.",Congo,COG,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
",NA,NA,NA,NA,NA,12 Restore/improve multiple land uses,NA,14 Restore/improve multiple functions,NA,NA,ongoing,NA,active,NA,NA
La conversion des forêts en d’autres formes d’occupation des terres du fait de la mise en œuvre des projets d’exploitation forestière et du développement de la production agricole est réduite de moitié,The conversion of forests into other forms of land use due to the implementation of forestry projects and the development of agricultural production is halved.,Congo,COG,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,NA,NA,"1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
La vulnérabilité des systèmes socio-économiques et des écosystèmes est réduite,The vulnerability of socio-economic systems and ecosystems is reduced.,Congo,COG,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
La conversion des terres naturelles et productives à l’urbanisation est estimée,The conversion of natural and productive lands to urbanization is estimated,Congo,COG,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
La conversion de la végétation naturelle à l’agriculture est estimée.,The conversion of natural vegetation to agriculture is estimated.,Congo,COG,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
La conversion des terres naturelles et productives à l’exploitation minière est estimée,The conversion of natural and productive land for mining is estimated,Congo,COG,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 Manage artificial surfaces
7.1 Halt illegal mining and/or reduce mining areas
",NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
Les nouvelles pertes résultant de la gestion non durable des terres sont estimées,The new losses resulting from unsustainable land management are estimated,Congo,COG,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
"Les pertes résultant des facteurs non anthropiques et de facteurs anthropiques indirects (feux de brousse, inondation, etc…) sont estimées","Losses resulting from non-anthropogenic factors and indirect anthropogenic factors (bushfires, flooding, etc.) are estimated.",Congo,COG,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
20 000 ha de terres d’exploitations agricoles dont les sols fortement dégradés ou menacés sont réhabilités ou protégés,"20,000 hectares of agricultural land with highly degraded or threatened soils are rehabilitated or protected",Congo,COG,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,200.00,NA,NA,NA,"3 Restore/improve croplands
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
84 421 hectares de plantation forestière ont été mise en place entre 2018 et 2030,"84,421 hectares of forest plantations have been established between 2018 and 2030.",Congo,COG,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,844.21,NA,"1 Restore/improve tree-covered areas
","2 Increase tree-covered area extent
2.1 Increase tree covered land (net gain)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
