Target;Target;(Unofficial;English;translation;generated;by;Artificial;Intelligence);Country;Country;ISO3;Provenance;Reference;year;Expected;year;of;achievement;Location;Location;(Unofficial;English;translation;generated;by;Artificial;Intelligence);Total;Target;Area;(km²);Type;of;LDN;intervention;Restore/improve;tree;covered;areas;Increase;tree;covered;areas;extent;Restore/improve;croplands;Restore/improve;grasslands;Restore/improve;wetlands;Increase;soil;fertility;and;carbon;stock;Manage;artificial;surfaces;Restore/improve;protected;areas;Increase;protected;areas;Improve;coastal;management;General;instrument;(e.g.;policies/economic;incentives);Restore/improve;multiple;land;uses;Reduce/halt;conversion;of;multiple;land;uses;Restore/improve;multiple;functions;Restore;productivity;and;soc;in;croplands;and;grasslands;Other/general/unspecified;Level;of;achievement;Other;important;goals;addressed;by;this;target;Validation;level;Geometry;UID;Geometry;type
"D’ici 2040, 1 738.8 km2 de forêts seront restaurés.,""By 2040, 1,738.8 km2 of forests will be restored."",Chad,TCD,LDN Pilot Project,NA,2040,NA,NA,1738.80,NA,""1 Restore/improve tree-covered areas";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 Restore tree-covered areas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
D’ici 2040, 17.95 km2 de zones humides seront restaurées."",""By 2040, 17.95 km2 of wetlands will be restored."",Chad,TCD,LDN Pilot Project,NA,2040,NA,NA,17.95,NA,NA,NA,NA,NA,""5 Restore/improve wetlands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
D’ici 2040, 29 000 km2  de zones dégradées (terres dénudées et autres) seront restaurées."",""By 2040, 29,000 km2 of degraded areas (bare lands and others) will be restored."",Chad,TCD,LDN Pilot Project,NA,2040,NA,NA,29000.00,NA,NA,NA,NA,NA,NA,""6 Increase soil fertility and carbon stock";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.1 Rehabilitate bare land and/or restore degraded land;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,NA,NA,NA,NA,NA,NA,NA,NA,NA,16 Other/general/unspecified;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.1 Other/general/unspecified;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
",ongoing,NA,active,NA,NA
Récupération de 20 000 ha de terre dans la province d'AMDJARASS,Recovery of 20,000 hectares of land in the province of AMDJARASS."",Chad,TCD,2022 reporting,NA,2040,Province d'Amdjarass,Amdjarass Province,200.00,""Reduce";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reverse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
