Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
LDN is achieved by 2030 as compared to 2015 and an additional 9 per cent of the national territory has improved (net gain),NA,Kenya,KEN,Participation in the LDN Target Setting Programme,NA,2030,national territory,NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
LDN is achieved in Ewaso Ngiro North (Lak Dera 2) of Kenya by 2030 as compared to 2015 (no net loss),NA,Kenya,KEN,Participation in the LDN Target Setting Programme,NA,2030,Ewaso Ngiro North (Lak Dera 2),NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
LDN is achieved in the Tana River catchment zone of Kenya by 2030 as compared to 2015 and an additional 16.7 per cent of the zone has improved (net gain),NA,Kenya,KEN,Participation in the LDN Target Setting Programme,NA,2030,Tana River catchment zone,NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
"LDN is achieved in Athi River catchment zone (Galana, Pangani, Kenya South east Coast) of Kenya by 2030 as compared to 2015 (no net loss)",NA,Kenya,KEN,Participation in the LDN Target Setting Programme,NA,2030,"Athi River catchment zone (Galana, Pangani, Kenya South east Coast)",NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
"LDN is achieved in Rift Valley catchment zone (Lake Turkana, Naivasha, Natron) of Kenya by 2030 as compared to 2015 and an additional of 9 per cent of the zone has improved (net gain)",NA,Kenya,KEN,Participation in the LDN Target Setting Programme,NA,2030,"Rift Valley catchment zone (Lake Turkana, Naivasha, Natron)",NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,"6.1 Improve watershed/landscape management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
LDN is achieved in the Lake Victoria region (Nile basin) of Kenya by 2030 as compared to 2015 and an additional 9 per cent of the zone has improved (net gain),NA,Kenya,KEN,Participation in the LDN Target Setting Programme,NA,2030,Lake Victoria region (Nile basin),NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,"6.1 Improve watershed/landscape management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
Increase forest cover through Afforestation/Agroforestry in existing forests; areas of shrubs/grassland; wetlands; croplands by 5.1 M Ha,NA,Kenya,KEN,Participation in the LDN Target Setting Programme,NA,NA,national territory,NA,51000.00,"Avoid
Reduce
Reverse
","1.1 Restore tree-covered areas
","2 Increase tree-covered area extent
","3.1 Increase land productivity in agricultural areas
","4.1 Restore and improve pastures
4.2 Improve land productivity in grasslands
","5.1 Restore/preserve wetlands and reduce degradation of wetlands
",NA,NA,NA,NA,NA,NA,NA,NA,14 Restore/improve multiple functions,NA,NA,ongoing,NA,active,NA,NA
"Increase by 16 per cent net land productivity in forest, shrub land/grassland and cropland showing declining productivity; achieved through SLM practices",NA,Kenya,KEN,Participation in the LDN Target Setting Programme,NA,NA,national territory,NA,NA,"Reduce
Reverse
",NA,NA,"3.1 Practise sustainable land management
",NA,NA,"6.1 Rehabilitate bare land and/or restore degraded land
6.2 Increase carbon stock and reduce soil/land degradation
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Increase soil organic carbon by 319626 total tonnes in cropland land use achieved through SLM practices,NA,Kenya,KEN,Participation in the LDN Target Setting Programme,NA,NA,national territory,NA,NA,"Reduce
",NA,NA,"3.1 Increase land productivity in agricultural areas
3.2 Practise sustainable land management
",NA,NA,"6.1 Increase carbon stock and reduce soil/land degradation
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Halt the conversion of forests to other land cover classes by 2030,NA,Kenya,KEN,Participation in the LDN Target Setting Programme,NA,2030,national territory,NA,NA,"Avoid
Reduce
","1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Rehabilitation of all abandoned Mining and quarrying areas through enforcement of by- laws,NA,Kenya,KEN,Participation in the LDN Target Setting Programme,NA,NA,national territory,NA,NA,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,"7.1 Restore degraded mining areas
",NA,NA,NA,"11 General instrument (e.g. policies, economic incentives)",NA,NA,14 Restore/improve multiple functions,NA,NA,ongoing,NA,active,NA,NA
