Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
LDN is achieved by 2030 as compared to 2015 and an additional 10% of the national landscape has improved (net gain),NA,Liberia,LBR,Participation in the LDN Target Setting Programme,NA,2030,national territory,NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
",ongoing,NA,active,NA,NA
"LDN is achieved in selected districts in Lofa, Grand Bassa, Grand Gedeh, Nimba, Gbarpolu, Rivercess and Grand Kru Counties respectively by 2030 as compared to 2015 (no net loss) and an additional country specific percentage of the landscape in those Counties has improved (net gain)",NA,Liberia,LBR,Participation in the LDN Target Setting Programme,NA,2030,"Lofa, Grand Bassa, Grand Gedeh, Nimba, Gbarpolu, Rivercess and Grand Kru Counties",NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Achieve LDN
16.2 Improve land productivity (unspecified land use)
",ongoing,NA,active,NA,NA
"Additional 10% of landscape improved in Voinjama, Foyah, Quadugbonie Districts in Lofa County (135,191.9 ha targeted degraded area)",NA,Liberia,LBR,Participation in the LDN Target Setting Programme,NA,NA,"Voinjama, Foyah, Quadugbonie Districts in Lofa County",NA,135191.90,"Reduce
Reverse
",NA,NA,NA,NA,NA,"6.1 Rehabilitate bare land and/or restore degraded land
",NA,NA,NA,NA,NA,NA,NA,14 Restore/improve multiple functions,NA,NA,ongoing,NA,active,NA,NA
LDN is achieved by 2030 as compared to 2015 and an additional 10% of the national landscape has improved (net gain).,NA,Liberia,LBR,Participation in the LDN Target Setting Programme,NA,2030,National,NA,NA,"Avoid
Reduce
Reverse
",NA,"2 Increase tree-covered area extent
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,NA
LDN is achieved in selected districts in Lofa county by 2030 at 10% compared to 2015 (no net loss) and an additional country-specific percentage of this landscape improved (net gain). ,NA,Liberia,LBR,Participation in the LDN Target Setting Programme,NA,2030,"Voinjama, Foyah, Quadugbonie - LOFA COUNTY","Voinjama, Foyah, Quadugbonie - LOFA COUNTY.",1346.10,"Avoid
Reduce
Reverse
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Restore tree-covered areas
1.3 Increase land productivity in tree covered areas
",NA,"3 Restore/improve croplands
3.1 Improve water use for irrigation
3.2 Practise sustainable land management
","4 Restore/improve grasslands
4.1 Improve land productivity in grasslands
",NA,"6 Increase soil fertility and carbon stock
6.1 Reduce soil erosion
",NA,"8 Restore/improve protected areas
8.1 Improve management of protected areas
",NA,NA,"11 General instrument (e.g. policies, economic incentives)",NA,NA,NA,15 Restore productivity and soil organic carbon stock in croplands and grasslands,"16 Other/general/unspecified
16.1 Achieve LDN
",ongoing,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,lfwfh-vwflj-wgtrs-ak3jx,Polygon
LDN is achieved in selected districts in Nimba county by 2030 at 10% compared to 2015 (no net loss) and an additional country-specific percentage of this landscape improved (net gain). ,NA,Liberia,LBR,Participation in the LDN Target Setting Programme,NA,2030,"Boe and Quillah, Buu Yao, Lower Doe, Yarmein - NIMBA COUNTY",NA,1228.30,"Avoid
Reduce
Reverse
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Restore tree-covered areas
1.3 Increase land productivity in tree covered areas
",NA,"3 Restore/improve croplands
3.1 Increase land productivity in agricultural areas
3.2 Practise sustainable land management
","4 Restore/improve grasslands
4.1 Improve land productivity in grasslands
",NA,"6 Increase soil fertility and carbon stock
6.1 Reduce soil erosion
",NA,"8 Restore/improve protected areas
8.1 Improve management of protected areas
",NA,NA,NA,NA,13 Reduce/halt conversion of multiple land uses,NA,15 Restore productivity and soil organic carbon stock in croplands and grasslands,"16 Other/general/unspecified
16.1 Avoid/prevent/halt degradation (of degraded lands)
16.2 Achieve LDN
",ongoing,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,7zkys-0797j-aljw6-2bmba,Polygon
LDN is achieved in selected districts in Gbapolu county by 2030 at 7% compared to 2015 (no net loss) and an additional country-specific percentage of this landscape improved (net gain). ,NA,Liberia,LBR,Participation in the LDN Target Setting Programme,NA,2030,Lower Belleh and Bopulu,NA,2030.40,"Avoid
Reduce
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Restore tree-covered areas
1.3 Increase land productivity in tree covered areas
",NA,"3 Restore/improve croplands
3.1 Increase land productivity in agricultural areas
3.2 Practise sustainable land management
","4 Restore/improve grasslands
4.1 Improve land productivity in grasslands
",NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
6.2 Reduce soil erosion
",NA,"8 Restore/improve protected areas
8.1 Improve management of protected areas
",NA,NA,NA,NA,13 Reduce/halt conversion of multiple land uses,NA,15 Restore productivity and soil organic carbon stock in croplands and grasslands,"16 Other/general/unspecified
16.1 Avoid/prevent/halt degradation (of degraded lands)
16.2 Achieve LDN
",ongoing,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,1y3wp-c5w4f-f5pxn-z1uqe,Polygon
LDN is achieved in selected districts in Grand Gedeh county by 2030 at 7% compared to 2015 (no net loss) and an additional country-specific percentage of this landscape improved (net gain). ,NA,Liberia,LBR,Participation in the LDN Target Setting Programme,NA,2030,"B’hai, Gboe-ploe, Putu","I'm sorry, but the text ""B’hai, Gboe-ploe, Putu"" does not have a clear meaning or translation in English.",1030.10,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,2a2ad-q5phl-i5sro-m361p,Polygon
LDN is achieved in selected districts in Grand Bassa and Rivercess counties by 2030 at 15% compared to 2015 (no net loss) and an additional country-specific percentage of this landscape improved (net gain). ,NA,Liberia,LBR,Participation in the LDN Target Setting Programme,NA,2030,"Disrtict 4, Nekree, St. John River District, Fen River, Jo River, Norwein","Sorry, but the text provided does not have a clear meaning or translation in English.",1488.00,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,8o8c4-vhrwt-nch1r-aqi8t,Polygon
LDN is achieved in selected districts in Grand Kru county by 2030 at 6% compared to 2015 (no net loss) and an additional country-specific percentage of this landscape improved (net gain). ,NA,Liberia,LBR,Participation in the LDN Target Setting Programme,NA,2030,"Lower Jloh, Felo-Jekwi,Nrokwi-Wesldow, Grandcess-Wedabo","Lower Jloh, Felo-Jekwi, Nrokwi-Wesldow, Grandcess-Wedabo",483.10,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,klq90-m2l2t-0ii7f-ugqb6,Polygon
