Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
"mesure structurale permettant le traitement (comblement) des ravins (en aval) dans un systéme de bassin versant, renforcée par l'action des cordons pierreux en aval","Structural measure allowing the treatment (filling) of gullies (downstream) in a watershed system, reinforced by the action of stone check dams downstream.",Senegal,SEN,LDN Pilot Project,NA,2020,Kidira,Kidira,1.00,"Reverse
",NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,NA,NA
"une alternative pour la gestion du changement climatique en tant que modèle innovant de développement durable et de
résilience des Communautés locales des terroirs",An alternative for managing climate change as an innovative model for sustainable development and resilience of local communities in the land.,Senegal,SEN,LDN Pilot Project,NA,2019,tracé GMV,"Sorry, ""tracé GMV"" does not have a specific meaning in French and does not translate to English.",333.00,"Reduce
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Restore tree-covered areas
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,partially_achieved,NA,active,NA,NA
"une alternative pour la gestion du changement climatique en tant que modèle innovant de développement durable et de
résilience des Communautés locales des terroirs",An alternative for managing climate change as an innovative model for sustainable development and resilience of local communities in the land.,Senegal,SEN,LDN Pilot Project,NA,2019,tracé GMV,GMV trace,130.00,"Avoid
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Restore tree-covered areas
1.3 Increase land productivity in tree covered areas
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,NA,NA
Récupération des terres salées,Recovery of saline lands,Senegal,SEN,LDN Pilot Project,NA,2022,Fatick,NA,5.00,"Reverse
",NA,NA,"3 Restore/improve croplands
3.1 Rehabilitate bare or degraded land for crop production
3.2 Practise sustainable land management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,NA,NA
Conversion des zones cultivées en forêt régionale,Conversion of cultivated areas into regional forest,Senegal,SEN,2022 reporting,NA,2022,"Linguére, Nguith","I'm sorry, but ""Linguére, Nguith"" does not have a specific meaning in English.",5.00,"Reverse
","1 Restore/improve tree-covered areas
1.1 Increase land productivity in tree covered areas
",NA,NA,NA,NA,NA,NA,NA,"9 Increase protected areas
9.1 Increase protected area extent",NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,NA,NA
mettre en place une retenue d'eau pour limiter la perte de couche arable par ruissellemnt et pour favoriser la recharge de la nappe phréatique,no translation needed - the text is already in French,Senegal,SEN,LDN Pilot Project,NA,2022,"Tambacounda, Tabanding","Tambacounda, Tabanding",3.00,"Avoid
",NA,NA,"3 Restore/improve croplands
3.1 Improve water use for irrigation
",NA,NA,"6 Increase soil fertility and carbon stock
6.1 Reduce soil erosion
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,NA,NA
Aménagement forestier,Forest management,Senegal,SEN,LDN Pilot Project,NA,2030,Kolda,Kolda,215.00,"Reduce
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Improve tree cover management
",NA,NA,NA,NA,NA,NA,"8 Restore/improve protected areas
8.1 Improve management of protected areas
",NA,NA,NA,NA,NA,NA,NA,NA,partially_achieved,NA,active,NA,NA
" Sur la période 2020-2035, 18 809.96 km2 de terres forestières seront restaurées et gérées durablement.","Over the period 2020-2035, 18,809.96 km2 of forest land will be restored and sustainably managed.",Senegal,SEN,Participation in the LDN Target Setting Programme,NA,2032,"régions de Tambacounda, Kolda, Fatick, Kaolack,kedougou",NA,2600.00,"Reverse
","1 Restore/improve tree-covered areas
1.1 Restore tree-covered areas
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"Sur la période 2020-2035, 10 257.06 km2 de terres de parcours et de prairies seront restaurées et gérées durablement","Over the period 2020-2035, 10,257.06 km2 of rangelands and grasslands will be restored and sustainably managed.",Senegal,SEN,Participation in the LDN Target Setting Programme,NA,2031,"Louga, Saint-louis, Diourbel,Matam, Kaolack",These are the names of regions in Senegal.,1200.00,"Reverse
",NA,NA,NA,"4 Restore/improve grasslands
4.1 Restore rangeland
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"• Sur la période 2020-2035, 19 894.12 km2 de terres cultivées seront restaurées et gérées durablement","Over the period 2020-2035, 19,894.12 km2 of cultivated land will be restored and sustainably managed.",Senegal,SEN,Participation in the LDN Target Setting Programme,NA,2033,"Saint-louis, Matam, Tambacounda, Kaolack, Fatick, Sedhiou",NA,1125.00,"Reverse
",NA,NA,"3 Restore/improve croplands
3.1 Increase land productivity in agricultural areas
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"• Sur la période 2020-2035, 1 147.58 km2 de zones humides seront restaurées et gérées durablement.","Over the period 2020-2035, 1,147.58 km2 of wetlands will be restored and sustainably managed.",Senegal,SEN,Participation in the LDN Target Setting Programme,NA,2033,"Fatick, Kaolack, Sedhiou, Ziguinchor",NA,300.00,"Reverse
",NA,NA,NA,NA,"5 Restore/improve wetlands
5.1 Restore/preserve wetlands and reduce degradation of wetlands
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"• Sur la période 2020-2035, 1 348.27 km2 de zones marginales (zones artificielles, terrain nu et autres domaines) seront restaurées et gérées durablement","Over the period 2020-2035, 1,348.27 km2 of marginal areas (artificial areas, bare land, and other domains) will be restored and sustainably managed.",Senegal,SEN,Participation in the LDN Target Setting Programme,NA,2030,Kedougou,NA,85.00,"Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
