Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
LDN is achieved by 2030 (no net loss),NA,Zambia,ZMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Achieve LDN
",ongoing,NA,active,NA,NA
"By 2030, the deforestation rate in Zambia is reduced by at least 50%",NA,Zambia,ZMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,"1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"By 2030, 40% of households adopt appropriate alternative energy sources from fuel wood",NA,Zambia,ZMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
By 2030 maintain and/or improve the SOC content (no net loss),NA,Zambia,ZMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Maintain the current level of SOC
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
"By 2030 good agricultural practices that mitigate loss of forest cover and SOC are increased from 6000 Km2 in 2015 to 10,000 Km2 in 2030",NA,Zambia,ZMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,10000.00,NA,"1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
",NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"By 2030, Zambia shall seek to halt land use change of wetlands and ecologically sensitive areas and normal functions of these areas shall be achieved (no net loss)",NA,Zambia,ZMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,NA,NA,NA,NA,"5 Restore/improve wetlands
5.1 Halt/reduce wetland conversion to other land uses (includes conserving wetlands)
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
By 2030 integrated land-use planning adopted and practiced across the nation,NA,Zambia,ZMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
"By 2030 Land Degradation Neutrality values have been integrated in the Eight National Development plan, Programmes and other planning processes",NA,Zambia,ZMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11 General instrument (e.g. policies, economic incentives)",NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
"By 2030, 50% of agricultural land is under sustainable agricultural practices compared to 2015",NA,Zambia,ZMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,NA,NA,"3 Restore/improve croplands
3.1 Practise sustainable land management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
All land degraded in mining and quarrying areas rehabilitated by 2030 compared to 2015,NA,Zambia,ZMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 Manage artificial surfaces
7.1 Restore degraded mining areas
",NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
By 2030 increase forest cover by 5% compared to 2015,NA,Zambia,ZMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,"1 Restore/improve tree-covered areas
1.1 Restore tree-covered areas
","2 Increase tree-covered area extent
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
By 2030 the production of timber wood fuel (charcoal & firewood) strengthened and regulated compared to 2015,NA,Zambia,ZMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
By 2030 the mining industry contributes to management of surrounding indigenous forests and establishment of forest plantations for local communities’ timber needs compared to 2015,NA,Zambia,ZMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,"1 Restore/improve tree-covered areas
1.1 Improve tree cover management
","2 Increase tree-covered area extent
2.1 Increase tree covered land (net gain)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
By 2030 Catchment Management Plans for the six (6) catchments of Zambia incorporate measures to mitigate or prevent land degradation are developed,NA,Zambia,ZMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11 General instrument (e.g. policies, economic incentives)",NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
Increasing national water storage by at least 10% by 2030 (i.e. from 188 km3 to 207 km3,NA,Zambia,ZMB,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
