Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
"Reforestation with local and exotic species on 6 455 250 hectares of forest
converted to shrubs and on 215 050 hectares of forest converted to cropland",NA,Zimbabwe,ZWE,Participation in the LDN Target Setting Programme,NA,2030,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,66703.00,"Reverse
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Restore tree-covered areas
1.3 Increase land productivity in tree covered areas
1.4 Restore/improve grasslands
1.5 Improve tree cover management
","2 Increase tree-covered area extent
2.1 Increase tree covered land (net gain)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"Convention on Biological Diversity
United Nations Framework Convention
",active,NA,NA
"Avoid further decline of forest through economic incentives (rehabilitation) of 2 820 hectares of land showing early signs of decline and having a declining
productivity",NA,Zimbabwe,ZWE,Participation in the LDN Target Setting Programme,NA,2030,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,28.20,"Avoid
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Restore tree-covered areas
1.3 Increase land productivity in tree covered areas
1.4 Restore/improve grasslands
1.5 Improve tree cover management
","2 Increase tree-covered area extent
2.1 Increase tree covered land (net gain)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"Convention on Biological Diversity
United Nations Framework Convention
",active,NA,NA
"Improve sustainable land management practices to avoid soil and gully erosion, encourage and enforce appropriate stoking rates on 175 250 hectares of shrubs, grasslands and sparsely vegetated areas showing early signs of decline
",NA,Zimbabwe,ZWE,Participation in the LDN Target Setting Programme,NA,2030,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,1752.50,"Avoid
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"Convention on Biological Diversity
United Nations Framework Convention
",active,NA,NA
"Use conservation farming and agro-forestry practices to improve cropland
productivity on 361 250 hectares of cropland showing stable but stressed
productivity and early signs of decline",NA,Zimbabwe,ZWE,Participation in the LDN Target Setting Programme,NA,2030,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,3612.50,"Avoid
",NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
6.2 Reduce soil erosion
6.3 Increase carbon stock and reduce soil/land degradation
6.4 Maintain the current level of SOC
6.5 Improve watershed/landscape management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"Convention on Biological Diversity
United Nations Framework Convention
",active,NA,NA
Embark on land/catchment reclamation/restoration on 5 580 hectares of grazing and cropland affected by gully erosion,NA,Zimbabwe,ZWE,Participation in the LDN Target Setting Programme,NA,2030,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,55.80,"Reverse
",NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
6.2 Reduce soil erosion
6.3 Increase carbon stock and reduce soil/land degradation
6.4 Maintain the current level of SOC
6.5 Improve watershed/landscape management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"Convention on Biological Diversity
United Nations Framework Convention
",active,NA,NA
"Enforce laws and regulations, embark on awareness programmes targeting
illegal miners and rehabilitate 3 798.60 hectares affected by illegal mining",NA,Zimbabwe,ZWE,Participation in the LDN Target Setting Programme,NA,2030,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,37.90,"Reduce
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13 Reduce/halt conversion of multiple land uses,14 Restore/improve multiple functions,NA,NA,ongoing,"Convention on Biological Diversity
United Nations Framework Convention
",active,NA,NA
Reduce the 8 857.92 hectares of land affected by alien species through chemical and mechanical control methods,NA,Zimbabwe,ZWE,Participation in the LDN Target Setting Programme,NA,2030,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,88.50,"Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13 Reduce/halt conversion of multiple land uses,14 Restore/improve multiple functions,NA,NA,ongoing,"Convention on Biological Diversity
United Nations Framework Convention
",active,NA,NA
Maintain and improve land productivity on 137 545 hectares of forests that are currently stable but stressed,NA,Zimbabwe,ZWE,Participation in the LDN Target Setting Programme,NA,2030,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,137.50,"Reduce
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Restore tree-covered areas
1.3 Increase land productivity in tree covered areas
1.4 Restore/improve grasslands
1.5 Improve tree cover management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"Convention on Biological Diversity
United Nations Framework Convention
",active,NA,NA
"Provide alternatives such as rural electrification, renewable energy sources, expanded energy for tobacco programme, provide sustainable fencing materials for fencing arable lands and for brick burning , enforce regulations on tree cutting
for fuel wood sale and reduce deforestation to protect 297 000 hectares of forest
land",NA,Zimbabwe,ZWE,Participation in the LDN Target Setting Programme,NA,2030,"Mhondoro, Chivi, Shamva, Hwange, Umzingwane, Chipinge and Zvishavane districts",NA,2970.00,"Avoid
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13 Reduce/halt conversion of multiple land uses,14 Restore/improve multiple functions,NA,NA,ongoing,"Convention on Biological Diversity
United Nations Framework Convention
",active,NA,NA
"Improve wetland management and restoration of 270 080 hectares of the
country’s severely degraded wetlands",NA,Zimbabwe,ZWE,Participation in the LDN Target Setting Programme,NA,2045,whole country,NA,2.00,"Reverse
",NA,NA,NA,NA,"5 Restore/improve wetlands
5.1 Halt/reduce wetland conversion to other land uses (includes conserving wetlands)
5.2 Restore/preserve wetlands and reduce degradation of wetlands
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,"Convention on Biological Diversity
United Nations Framework Convention
",active,NA,NA
